label,dataset,origin,file
aluno,MALTA,UFSC,aluno\malta\malta_02.mp4
aluno,MALTA,USP,aluno\malta\malta_03.mp4
amarelo,MINDS,Sinalizador011,amarelo\minds\minds_01.mp4
amarelo,MINDS,Sinalizador012,amarelo\minds\minds_02.mp4
amarelo,MINDS,Sinalizador013,amarelo\minds\minds_03.mp4
amarelo,MINDS,Sinalizador014,amarelo\minds\minds_04.mp4
amarelo,MINDS,Sinalizador015,amarelo\minds\minds_05.mp4
amarelo,MINDS,Sinalizador021,amarelo\minds\minds_06.mp4
amarelo,MINDS,Sinalizador022,amarelo\minds\minds_07.mp4
amarelo,MINDS,Sinalizador023,amarelo\minds\minds_08.mp4
amarelo,MINDS,Sinalizador024,amarelo\minds\minds_09.mp4
amarelo,MINDS,Sinalizador025,amarelo\minds\minds_10.mp4
amarelo,MINDS,Sinalizador051,amarelo\minds\minds_11.mp4
amarelo,MINDS,Sinalizador052,amarelo\minds\minds_12.mp4
amarelo,MINDS,Sinalizador053,amarelo\minds\minds_13.mp4
amarelo,MINDS,Sinalizador054,amarelo\minds\minds_14.mp4
amarelo,MINDS,Sinalizador055,amarelo\minds\minds_15.mp4
amarelo,MINDS,Sinalizador061,amarelo\minds\minds_16.mp4
amarelo,MINDS,Sinalizador062,amarelo\minds\minds_17.mp4
amarelo,MINDS,Sinalizador063,amarelo\minds\minds_18.mp4
amarelo,MINDS,Sinalizador064,amarelo\minds\minds_19.mp4
amarelo,MINDS,Sinalizador065,amarelo\minds\minds_20.mp4
amarelo,MINDS,Sinalizador081,amarelo\minds\minds_21.mp4
amarelo,MINDS,Sinalizador082,amarelo\minds\minds_22.mp4
amarelo,MINDS,Sinalizador083,amarelo\minds\minds_23.mp4
amarelo,MINDS,Sinalizador084,amarelo\minds\minds_24.mp4
amarelo,MINDS,Sinalizador085,amarelo\minds\minds_25.mp4
amarelo,MINDS,Sinalizador101,amarelo\minds\minds_26.mp4
amarelo,MINDS,Sinalizador102,amarelo\minds\minds_27.mp4
amarelo,MINDS,Sinalizador103,amarelo\minds\minds_28.mp4
amarelo,MINDS,Sinalizador104,amarelo\minds\minds_29.mp4
amarelo,MINDS,Sinalizador105,amarelo\minds\minds_30.mp4
amarelo,MINDS,Sinalizador111,amarelo\minds\minds_31.mp4
amarelo,MINDS,Sinalizador112,amarelo\minds\minds_32.mp4
amarelo,MINDS,Sinalizador113,amarelo\minds\minds_33.mp4
amarelo,MINDS,Sinalizador114,amarelo\minds\minds_34.mp4
amarelo,MINDS,Sinalizador115,amarelo\minds\minds_35.mp4
amarelo,MINDS,Sinalizador121,amarelo\minds\minds_36.mp4
amarelo,MINDS,Sinalizador122,amarelo\minds\minds_37.mp4
amarelo,MINDS,Sinalizador123,amarelo\minds\minds_38.mp4
amarelo,MINDS,Sinalizador124,amarelo\minds\minds_39.mp4
amarelo,MINDS,Sinalizador125,amarelo\minds\minds_40.mp4
amarelo,MALTA,Acessibilidades3,amarelo\malta\malta_01.mp4
amarelo,MALTA,SpreadTheSign,amarelo\malta\malta_02.mp4
amarelo,MALTA,UFSC,amarelo\malta\malta_03.mp4
amarelo,MALTA,USP,amarelo\malta\malta_04.mp4
america,MINDS,Sinalizador011,america\minds\minds_01.mp4
america,MINDS,Sinalizador012,america\minds\minds_02.mp4
america,MINDS,Sinalizador013,america\minds\minds_03.mp4
america,MINDS,Sinalizador014,america\minds\minds_04.mp4
america,MINDS,Sinalizador015,america\minds\minds_05.mp4
america,MINDS,Sinalizador021,america\minds\minds_06.mp4
america,MINDS,Sinalizador022,america\minds\minds_07.mp4
america,MINDS,Sinalizador023,america\minds\minds_08.mp4
america,MINDS,Sinalizador024,america\minds\minds_09.mp4
america,MINDS,Sinalizador025,america\minds\minds_10.mp4
america,MINDS,Sinalizador051,america\minds\minds_11.mp4
america,MINDS,Sinalizador052,america\minds\minds_12.mp4
america,MINDS,Sinalizador053,america\minds\minds_13.mp4
america,MINDS,Sinalizador054,america\minds\minds_14.mp4
america,MINDS,Sinalizador055,america\minds\minds_15.mp4
america,MINDS,Sinalizador061,america\minds\minds_16.mp4
america,MINDS,Sinalizador062,america\minds\minds_17.mp4
america,MINDS,Sinalizador063,america\minds\minds_18.mp4
america,MINDS,Sinalizador064,america\minds\minds_19.mp4
america,MINDS,Sinalizador065,america\minds\minds_20.mp4
america,MINDS,Sinalizador081,america\minds\minds_21.mp4
america,MINDS,Sinalizador082,america\minds\minds_22.mp4
america,MINDS,Sinalizador083,america\minds\minds_23.mp4
america,MINDS,Sinalizador084,america\minds\minds_24.mp4
america,MINDS,Sinalizador085,america\minds\minds_25.mp4
america,MINDS,Sinalizador101,america\minds\minds_26.mp4
america,MINDS,Sinalizador102,america\minds\minds_27.mp4
america,MINDS,Sinalizador103,america\minds\minds_28.mp4
america,MINDS,Sinalizador104,america\minds\minds_29.mp4
america,MINDS,Sinalizador105,america\minds\minds_30.mp4
america,MINDS,Sinalizador111,america\minds\minds_31.mp4
america,MINDS,Sinalizador112,america\minds\minds_32.mp4
america,MINDS,Sinalizador113,america\minds\minds_33.mp4
america,MINDS,Sinalizador114,america\minds\minds_34.mp4
america,MINDS,Sinalizador115,america\minds\minds_35.mp4
america,MINDS,Sinalizador121,america\minds\minds_36.mp4
america,MINDS,Sinalizador122,america\minds\minds_37.mp4
america,MINDS,Sinalizador123,america\minds\minds_38.mp4
america,MINDS,Sinalizador124,america\minds\minds_39.mp4
america,MINDS,Sinalizador125,america\minds\minds_40.mp4
america,MALTA,Acessibilidades3,america\malta\malta_01.mp4
america,MALTA,SpreadTheSign,america\malta\malta_02.mp4
america,MALTA,UFSC,america\malta\malta_03.mp4
america,MALTA,UFV,america\malta\malta_04.mp4
aproveitar,MINDS,Sinalizador011,aproveitar\minds\minds_01.mp4
aproveitar,MINDS,Sinalizador012,aproveitar\minds\minds_02.mp4
aproveitar,MINDS,Sinalizador013,aproveitar\minds\minds_03.mp4
aproveitar,MINDS,Sinalizador014,aproveitar\minds\minds_04.mp4
aproveitar,MINDS,Sinalizador015,aproveitar\minds\minds_05.mp4
aproveitar,MINDS,Sinalizador021,aproveitar\minds\minds_06.mp4
aproveitar,MINDS,Sinalizador022,aproveitar\minds\minds_07.mp4
aproveitar,MINDS,Sinalizador023,aproveitar\minds\minds_08.mp4
aproveitar,MINDS,Sinalizador024,aproveitar\minds\minds_09.mp4
aproveitar,MINDS,Sinalizador025,aproveitar\minds\minds_10.mp4
aproveitar,MINDS,Sinalizador051,aproveitar\minds\minds_11.mp4
aproveitar,MINDS,Sinalizador052,aproveitar\minds\minds_12.mp4
aproveitar,MINDS,Sinalizador053,aproveitar\minds\minds_13.mp4
aproveitar,MINDS,Sinalizador054,aproveitar\minds\minds_14.mp4
aproveitar,MINDS,Sinalizador055,aproveitar\minds\minds_15.mp4
aproveitar,MINDS,Sinalizador061,aproveitar\minds\minds_16.mp4
aproveitar,MINDS,Sinalizador062,aproveitar\minds\minds_17.mp4
aproveitar,MINDS,Sinalizador063,aproveitar\minds\minds_18.mp4
aproveitar,MINDS,Sinalizador064,aproveitar\minds\minds_19.mp4
aproveitar,MINDS,Sinalizador065,aproveitar\minds\minds_20.mp4
aproveitar,MINDS,Sinalizador081,aproveitar\minds\minds_21.mp4
aproveitar,MINDS,Sinalizador082,aproveitar\minds\minds_22.mp4
aproveitar,MINDS,Sinalizador083,aproveitar\minds\minds_23.mp4
aproveitar,MINDS,Sinalizador084,aproveitar\minds\minds_24.mp4
aproveitar,MINDS,Sinalizador085,aproveitar\minds\minds_25.mp4
aproveitar,MINDS,Sinalizador101,aproveitar\minds\minds_26.mp4
aproveitar,MINDS,Sinalizador102,aproveitar\minds\minds_27.mp4
aproveitar,MINDS,Sinalizador103,aproveitar\minds\minds_28.mp4
aproveitar,MINDS,Sinalizador104,aproveitar\minds\minds_29.mp4
aproveitar,MINDS,Sinalizador105,aproveitar\minds\minds_30.mp4
aproveitar,MINDS,Sinalizador111,aproveitar\minds\minds_31.mp4
aproveitar,MINDS,Sinalizador112,aproveitar\minds\minds_32.mp4
aproveitar,MINDS,Sinalizador113,aproveitar\minds\minds_33.mp4
aproveitar,MINDS,Sinalizador114,aproveitar\minds\minds_34.mp4
aproveitar,MINDS,Sinalizador115,aproveitar\minds\minds_35.mp4
aproveitar,MINDS,Sinalizador121,aproveitar\minds\minds_36.mp4
aproveitar,MINDS,Sinalizador122,aproveitar\minds\minds_37.mp4
aproveitar,MINDS,Sinalizador123,aproveitar\minds\minds_38.mp4
aproveitar,MINDS,Sinalizador124,aproveitar\minds\minds_39.mp4
aproveitar,MINDS,Sinalizador125,aproveitar\minds\minds_40.mp4
aproveitar,MALTA,Acessibilidades3,aproveitar\malta\malta_01.mp4
aproveitar,MALTA,Acessibilidades3,aproveitar\malta\malta_02.mp4
aproveitar,MALTA,SpreadTheSign,aproveitar\malta\malta_03.mp4
aproveitar,MALTA,UFSC,aproveitar\malta\malta_04.mp4
bala,MINDS,Sinalizador011,bala\minds\minds_01.mp4
bala,MINDS,Sinalizador012,bala\minds\minds_02.mp4
bala,MINDS,Sinalizador013,bala\minds\minds_03.mp4
bala,MINDS,Sinalizador014,bala\minds\minds_04.mp4
bala,MINDS,Sinalizador015,bala\minds\minds_05.mp4
bala,MINDS,Sinalizador021,bala\minds\minds_06.mp4
bala,MINDS,Sinalizador022,bala\minds\minds_07.mp4
bala,MINDS,Sinalizador023,bala\minds\minds_08.mp4
bala,MINDS,Sinalizador024,bala\minds\minds_09.mp4
bala,MINDS,Sinalizador025,bala\minds\minds_10.mp4
bala,MINDS,Sinalizador051,bala\minds\minds_11.mp4
bala,MINDS,Sinalizador052,bala\minds\minds_12.mp4
bala,MINDS,Sinalizador053,bala\minds\minds_13.mp4
bala,MINDS,Sinalizador054,bala\minds\minds_14.mp4
bala,MINDS,Sinalizador055,bala\minds\minds_15.mp4
bala,MINDS,Sinalizador061,bala\minds\minds_16.mp4
bala,MINDS,Sinalizador062,bala\minds\minds_17.mp4
bala,MINDS,Sinalizador063,bala\minds\minds_18.mp4
bala,MINDS,Sinalizador064,bala\minds\minds_19.mp4
bala,MINDS,Sinalizador065,bala\minds\minds_20.mp4
bala,MINDS,Sinalizador081,bala\minds\minds_21.mp4
bala,MINDS,Sinalizador082,bala\minds\minds_22.mp4
bala,MINDS,Sinalizador083,bala\minds\minds_23.mp4
bala,MINDS,Sinalizador084,bala\minds\minds_24.mp4
bala,MINDS,Sinalizador085,bala\minds\minds_25.mp4
bala,MINDS,Sinalizador101,bala\minds\minds_26.mp4
bala,MINDS,Sinalizador102,bala\minds\minds_27.mp4
bala,MINDS,Sinalizador103,bala\minds\minds_28.mp4
bala,MINDS,Sinalizador104,bala\minds\minds_29.mp4
bala,MINDS,Sinalizador105,bala\minds\minds_30.mp4
bala,MINDS,Sinalizador111,bala\minds\minds_31.mp4
bala,MINDS,Sinalizador112,bala\minds\minds_32.mp4
bala,MINDS,Sinalizador113,bala\minds\minds_33.mp4
bala,MINDS,Sinalizador114,bala\minds\minds_34.mp4
bala,MINDS,Sinalizador115,bala\minds\minds_35.mp4
bala,MINDS,Sinalizador121,bala\minds\minds_36.mp4
bala,MINDS,Sinalizador122,bala\minds\minds_37.mp4
bala,MINDS,Sinalizador123,bala\minds\minds_38.mp4
bala,MINDS,Sinalizador124,bala\minds\minds_39.mp4
bala,MINDS,Sinalizador125,bala\minds\minds_40.mp4
bala,MALTA,Acessibilidades3,bala\malta\malta_01.mp4
bala,MALTA,UFSC,bala\malta\malta_02.mp4
bala,MALTA,UFV,bala\malta\malta_03.mp4
bala,MALTA,USP,bala\malta\malta_04.mp4
banco,MINDS,Sinalizador011,banco\minds\minds_01.mp4
banco,MINDS,Sinalizador012,banco\minds\minds_02.mp4
banco,MINDS,Sinalizador013,banco\minds\minds_03.mp4
banco,MINDS,Sinalizador014,banco\minds\minds_04.mp4
banco,MINDS,Sinalizador015,banco\minds\minds_05.mp4
banco,MINDS,Sinalizador021,banco\minds\minds_06.mp4
banco,MINDS,Sinalizador022,banco\minds\minds_07.mp4
banco,MINDS,Sinalizador023,banco\minds\minds_08.mp4
banco,MINDS,Sinalizador024,banco\minds\minds_09.mp4
banco,MINDS,Sinalizador025,banco\minds\minds_10.mp4
banco,MINDS,Sinalizador051,banco\minds\minds_11.mp4
banco,MINDS,Sinalizador052,banco\minds\minds_12.mp4
banco,MINDS,Sinalizador053,banco\minds\minds_13.mp4
banco,MINDS,Sinalizador054,banco\minds\minds_14.mp4
banco,MINDS,Sinalizador055,banco\minds\minds_15.mp4
banco,MINDS,Sinalizador061,banco\minds\minds_16.mp4
banco,MINDS,Sinalizador062,banco\minds\minds_17.mp4
banco,MINDS,Sinalizador063,banco\minds\minds_18.mp4
banco,MINDS,Sinalizador064,banco\minds\minds_19.mp4
banco,MINDS,Sinalizador065,banco\minds\minds_20.mp4
banco,MINDS,Sinalizador081,banco\minds\minds_21.mp4
banco,MINDS,Sinalizador082,banco\minds\minds_22.mp4
banco,MINDS,Sinalizador083,banco\minds\minds_23.mp4
banco,MINDS,Sinalizador084,banco\minds\minds_24.mp4
banco,MINDS,Sinalizador085,banco\minds\minds_25.mp4
banco,MINDS,Sinalizador101,banco\minds\minds_26.mp4
banco,MINDS,Sinalizador102,banco\minds\minds_27.mp4
banco,MINDS,Sinalizador103,banco\minds\minds_28.mp4
banco,MINDS,Sinalizador104,banco\minds\minds_29.mp4
banco,MINDS,Sinalizador105,banco\minds\minds_30.mp4
banco,MINDS,Sinalizador111,banco\minds\minds_31.mp4
banco,MINDS,Sinalizador112,banco\minds\minds_32.mp4
banco,MINDS,Sinalizador113,banco\minds\minds_33.mp4
banco,MINDS,Sinalizador114,banco\minds\minds_34.mp4
banco,MINDS,Sinalizador115,banco\minds\minds_35.mp4
banco,MINDS,Sinalizador121,banco\minds\minds_36.mp4
banco,MINDS,Sinalizador122,banco\minds\minds_37.mp4
banco,MINDS,Sinalizador123,banco\minds\minds_38.mp4
banco,MINDS,Sinalizador124,banco\minds\minds_39.mp4
banco,MINDS,Sinalizador125,banco\minds\minds_40.mp4
banco,MALTA,Acessibilidades3,banco\malta\malta_01.mp4
banco,MALTA,Acessibilidades3,banco\malta\malta_02.mp4
banco,MALTA,Acessibilidades3,banco\malta\malta_03.mp4
banco,MALTA,SpreadTheSign,banco\malta\malta_04.mp4
banco,MALTA,UFSC,banco\malta\malta_05.mp4
banheiro,MINDS,Sinalizador011,banheiro\minds\minds_01.mp4
banheiro,MINDS,Sinalizador012,banheiro\minds\minds_02.mp4
banheiro,MINDS,Sinalizador013,banheiro\minds\minds_03.mp4
banheiro,MINDS,Sinalizador014,banheiro\minds\minds_04.mp4
banheiro,MINDS,Sinalizador015,banheiro\minds\minds_05.mp4
banheiro,MINDS,Sinalizador021,banheiro\minds\minds_06.mp4
banheiro,MINDS,Sinalizador022,banheiro\minds\minds_07.mp4
banheiro,MINDS,Sinalizador023,banheiro\minds\minds_08.mp4
banheiro,MINDS,Sinalizador024,banheiro\minds\minds_09.mp4
banheiro,MINDS,Sinalizador025,banheiro\minds\minds_10.mp4
banheiro,MINDS,Sinalizador051,banheiro\minds\minds_11.mp4
banheiro,MINDS,Sinalizador052,banheiro\minds\minds_12.mp4
banheiro,MINDS,Sinalizador053,banheiro\minds\minds_13.mp4
banheiro,MINDS,Sinalizador054,banheiro\minds\minds_14.mp4
banheiro,MINDS,Sinalizador055,banheiro\minds\minds_15.mp4
banheiro,MINDS,Sinalizador061,banheiro\minds\minds_16.mp4
banheiro,MINDS,Sinalizador062,banheiro\minds\minds_17.mp4
banheiro,MINDS,Sinalizador063,banheiro\minds\minds_18.mp4
banheiro,MINDS,Sinalizador064,banheiro\minds\minds_19.mp4
banheiro,MINDS,Sinalizador065,banheiro\minds\minds_20.mp4
banheiro,MINDS,Sinalizador081,banheiro\minds\minds_21.mp4
banheiro,MINDS,Sinalizador082,banheiro\minds\minds_22.mp4
banheiro,MINDS,Sinalizador083,banheiro\minds\minds_23.mp4
banheiro,MINDS,Sinalizador084,banheiro\minds\minds_24.mp4
banheiro,MINDS,Sinalizador085,banheiro\minds\minds_25.mp4
banheiro,MINDS,Sinalizador101,banheiro\minds\minds_26.mp4
banheiro,MINDS,Sinalizador102,banheiro\minds\minds_27.mp4
banheiro,MINDS,Sinalizador103,banheiro\minds\minds_28.mp4
banheiro,MINDS,Sinalizador104,banheiro\minds\minds_29.mp4
banheiro,MINDS,Sinalizador105,banheiro\minds\minds_30.mp4
banheiro,MINDS,Sinalizador111,banheiro\minds\minds_31.mp4
banheiro,MINDS,Sinalizador112,banheiro\minds\minds_32.mp4
banheiro,MINDS,Sinalizador113,banheiro\minds\minds_33.mp4
banheiro,MINDS,Sinalizador114,banheiro\minds\minds_34.mp4
banheiro,MINDS,Sinalizador115,banheiro\minds\minds_35.mp4
banheiro,MINDS,Sinalizador121,banheiro\minds\minds_36.mp4
banheiro,MINDS,Sinalizador122,banheiro\minds\minds_37.mp4
banheiro,MINDS,Sinalizador123,banheiro\minds\minds_38.mp4
banheiro,MINDS,Sinalizador124,banheiro\minds\minds_39.mp4
banheiro,MINDS,Sinalizador125,banheiro\minds\minds_40.mp4
banheiro,MALTA,Acessibilidades3,banheiro\malta\malta_01.mp4
banheiro,MALTA,SpreadTheSign,banheiro\malta\malta_02.mp4
banheiro,MALTA,UFSC,banheiro\malta\malta_03.mp4
banheiro,MALTA,UFV,banheiro\malta\malta_04.mp4
barulho,MINDS,Sinalizador011,barulho\minds\minds_01.mp4
barulho,MINDS,Sinalizador012,barulho\minds\minds_02.mp4
barulho,MINDS,Sinalizador013,barulho\minds\minds_03.mp4
barulho,MINDS,Sinalizador014,barulho\minds\minds_04.mp4
barulho,MINDS,Sinalizador015,barulho\minds\minds_05.mp4
barulho,MINDS,Sinalizador021,barulho\minds\minds_06.mp4
barulho,MINDS,Sinalizador022,barulho\minds\minds_07.mp4
barulho,MINDS,Sinalizador023,barulho\minds\minds_08.mp4
barulho,MINDS,Sinalizador024,barulho\minds\minds_09.mp4
barulho,MINDS,Sinalizador025,barulho\minds\minds_10.mp4
barulho,MINDS,Sinalizador051,barulho\minds\minds_11.mp4
barulho,MINDS,Sinalizador052,barulho\minds\minds_12.mp4
barulho,MINDS,Sinalizador053,barulho\minds\minds_13.mp4
barulho,MINDS,Sinalizador054,barulho\minds\minds_14.mp4
barulho,MINDS,Sinalizador055,barulho\minds\minds_15.mp4
barulho,MINDS,Sinalizador061,barulho\minds\minds_16.mp4
barulho,MINDS,Sinalizador062,barulho\minds\minds_17.mp4
barulho,MINDS,Sinalizador063,barulho\minds\minds_18.mp4
barulho,MINDS,Sinalizador064,barulho\minds\minds_19.mp4
barulho,MINDS,Sinalizador065,barulho\minds\minds_20.mp4
barulho,MINDS,Sinalizador081,barulho\minds\minds_21.mp4
barulho,MINDS,Sinalizador082,barulho\minds\minds_22.mp4
barulho,MINDS,Sinalizador083,barulho\minds\minds_23.mp4
barulho,MINDS,Sinalizador084,barulho\minds\minds_24.mp4
barulho,MINDS,Sinalizador085,barulho\minds\minds_25.mp4
barulho,MINDS,Sinalizador101,barulho\minds\minds_26.mp4
barulho,MINDS,Sinalizador102,barulho\minds\minds_27.mp4
barulho,MINDS,Sinalizador103,barulho\minds\minds_28.mp4
barulho,MINDS,Sinalizador104,barulho\minds\minds_29.mp4
barulho,MINDS,Sinalizador105,barulho\minds\minds_30.mp4
barulho,MINDS,Sinalizador111,barulho\minds\minds_31.mp4
barulho,MINDS,Sinalizador112,barulho\minds\minds_32.mp4
barulho,MINDS,Sinalizador113,barulho\minds\minds_33.mp4
barulho,MINDS,Sinalizador114,barulho\minds\minds_34.mp4
barulho,MINDS,Sinalizador115,barulho\minds\minds_35.mp4
barulho,MINDS,Sinalizador121,barulho\minds\minds_36.mp4
barulho,MINDS,Sinalizador122,barulho\minds\minds_37.mp4
barulho,MINDS,Sinalizador123,barulho\minds\minds_38.mp4
barulho,MINDS,Sinalizador124,barulho\minds\minds_39.mp4
barulho,MINDS,Sinalizador125,barulho\minds\minds_40.mp4
barulho,MALTA,Acessibilidades3,barulho\malta\malta_01.mp4
barulho,MALTA,UFSC,barulho\malta\malta_02.mp4
barulho,MALTA,USP,barulho\malta\malta_03.mp4
conhecer,MINDS,Sinalizador011,conhecer\minds\minds_01.mp4
conhecer,MINDS,Sinalizador012,conhecer\minds\minds_02.mp4
conhecer,MINDS,Sinalizador013,conhecer\minds\minds_03.mp4
conhecer,MINDS,Sinalizador014,conhecer\minds\minds_04.mp4
conhecer,MINDS,Sinalizador015,conhecer\minds\minds_05.mp4
conhecer,MINDS,Sinalizador021,conhecer\minds\minds_06.mp4
conhecer,MINDS,Sinalizador022,conhecer\minds\minds_07.mp4
conhecer,MINDS,Sinalizador023,conhecer\minds\minds_08.mp4
conhecer,MINDS,Sinalizador024,conhecer\minds\minds_09.mp4
conhecer,MINDS,Sinalizador025,conhecer\minds\minds_10.mp4
conhecer,MINDS,Sinalizador051,conhecer\minds\minds_11.mp4
conhecer,MINDS,Sinalizador052,conhecer\minds\minds_12.mp4
conhecer,MINDS,Sinalizador053,conhecer\minds\minds_13.mp4
conhecer,MINDS,Sinalizador054,conhecer\minds\minds_14.mp4
conhecer,MINDS,Sinalizador055,conhecer\minds\minds_15.mp4
conhecer,MINDS,Sinalizador061,conhecer\minds\minds_16.mp4
conhecer,MINDS,Sinalizador062,conhecer\minds\minds_17.mp4
conhecer,MINDS,Sinalizador063,conhecer\minds\minds_18.mp4
conhecer,MINDS,Sinalizador064,conhecer\minds\minds_19.mp4
conhecer,MINDS,Sinalizador065,conhecer\minds\minds_20.mp4
conhecer,MINDS,Sinalizador081,conhecer\minds\minds_21.mp4
conhecer,MINDS,Sinalizador082,conhecer\minds\minds_22.mp4
